title,author,hot
南京Hero vs DYG KPL秋季赛,KPL职业联赛,499.7万
单排105-126星！求狙击！,东辰-寒冰,340.4万
【天花板镜】究极飞雷神国服五排,星盛-丸酱ovo,44.6万
周五错不了！Hero vs DYG,寒夜教练【压豆之神】,70.2万
【1w7露娜】单排冲百胜，失败送3000,北慕,331.4万
随机大厅五排 寻找绿茶！,赢城-上好佳【暖男】,297.1万
带小姐姐上101视频中！声波劲爆专场？,浣熊君Dae,276.2万
万场老后羿十分钟让你学会,Dae-约翰,14.1万
【最强女木兰】与你峡谷甜蜜游,众乐-微倪,20.4万
和伴伴的妹妹去露营,大锤哥丶云图CD,231.8万
上分人 上分魂 上分手感very的纯,AzZ丶口袋,230.4万
20·烦人精大厅测试路人心态,茄子Godlike,175.5万
峡谷采灵芝吗,Dae-乐瑾,22.6万
国服马超阿离三排冲101,遗憾啊,6.0万
18世界级后羿solo全网路人王,酷酷的鑫呀,172.3万
第一李白，单排86~100星！,正恒丶夕阳,150.7万
上貂蝉第二个101,众乐-伟妹,144.0万
国服镜老虎战队赛,紫鲨-尤暗,6.9万
公认婉儿天花板单排荣耀局,红豆【锅富城】,98.9万
22国1鲁班 单排85-101星,AzZ丶小蒜,96.7万
六点送1千·单排85-101,猴三棍【三昧真火】,96.0万
"中单法王,日常乱鲨",正恒-愿望,93.3万
虎牙一号包国服三国服玄策打野效率带粉,小明全网第一帅,89.6万
双区百星野王 钞票枪上荣耀带粉,久爱-海洋,85.8万
全能补位带粉~,赢城-仙柒【感恩陪伴】,80.0万
白白胖胖充满希望~带粉,正恒丶玉瑶,73.5万
国服曜. 带粉.教学,非凡-孜烊,62.0万
噫呜呜噫,奇领小鲁班【007】,61.4万
国服射手2带3带粉连胜有车位,埼玉大魔王,61.1万
身法猴钞票枪包荣耀带粉,海思丶凤白,57.7万
【蒙犽】魔法书包10星枪荣耀位带粉,创红-清酒【凉了投吧】,56.3万
钞票枪上荣耀国1曜带粉,久爱、夏天,56.0万
国服露娜玄策全天带粉,创红橙阳【国一露娜】,54.9万
单排小姐姐,RD-恩熙,54.2万
【云南】声音超好听的小姐姐免费带粉啦~,橘子,52.5万
职业女野王带粉98胜率上荣耀 五排,允允owo,51.7万
国一三指玄策告白气球荣耀五排带粉,巅峰-鬼岛【三指玄策】,50.6万
五国服韩信带粉教学,ZY丶居安,49.8万
长沙郊区第一后裔~,正恒丶梦大大,48.7万
百星女法王，魔法书包车带粉连胜,迦音-遥遥,48.6万
9国服三指野王520荣耀带粉五排,ZY丶梦燃,48.0万
厨神台台,AzZ丶台台,46.8万
国服露娜微信区包10星(有车位)带粉上分,景色-阿辉,46.7万
在线蹲包车大哥~~~带粉掉坑,颖妃,46.6万
国服猴王-带粉26星以下有车位,泼猴【秒敲猴王】,45.8万
超猛赵云五排带粉躺赢,AzZ丶喵酱,45.7万
钞票枪上26国服老虎带粉一把不输,瀚辰、浪怀,43.1万
国服韩信  钞票枪永久赛季王者有车位,非凡-笑白,42.2万
四指国服玄策带粉没输过,全能野俊杰,39.2万
VX区国服镜 露娜带粉 魔法书包10星,景色-木熙,39.2万
不讲武德马克单排上101星 带粉,蓝新-烟灰,38.9万
国服沈梦溪魔法书带粉上王者,非凡音柒,38.8万
国一阿轲虎牙一号拿国标带粉没输过,皓月丶优格,38.4万
国服婉儿：打个全国婉儿,Dae-God风【风神】,36.8万
国服曜微信区70星单排教学,慕琴-小宇,36.5万
国1玄策 无敌节奏99胜率带粉上荣耀,海思-歌神宇轩,35.8万
钞票枪每赛季荣耀国1李白带粉教学,乐宸【三指野王】,35.3万
国服第一铠每把MVP金牌未尝一败双区带粉,我是一颗嚄虎牙,35.2万
钞票枪每赛季荣耀【国服最强野王】,ZY丶远景,35.1万
打野萌女！！！！！,晚莹儿,34.7万
【三国服】香香钞票枪包荣耀QQ区带粉,蓝鲨-耿耿,34.0万
东北小姐姐娜可露露带粉,虎牙-萍萍,33.7万
钞票枪上荣耀，顶尖李白玄策带粉教学,ZY丶叶枫,33.5万
我的野王呢,多多,33.0万
全能·女野王（周五免费带粉）·第48天,星盛-纲手姑姑,32.0万
国服李白单排85x-101，冲冲冲,DG-初拥,31.8万
钞票枪永久荣耀国服后羿养猪流双区带粉,零度-邪君,31.7万
钞票枪每赛季60星 无敌夏师傅带粉没输过,星盛-信念,31.2万
陕西声优小姐姐，双区带粉,恒云-小念雪,30.4万
小草抓卧底之 DYG VS HERO,望月草ColdGrass,30.2万
五排带粉一直赢,东辰-无邪,30.2万
双国一老虎玄策带粉冲荣耀李小龙,Dae-苏夏,29.9万
【国服野】魔法书上王者细节教学带粉上荣耀,蓝新-潇酱ouo,29.6万
三指国服马超带粉，包上星,康康,29.6万
双国服典韦阿珂细节教学，微信区48星三排带粉,CH大梨鸭【守护小阿姨】,29.2万
有车位，魔法书上王者国服李白90胜率带粉,景色-大白【自律】,29.1万
【国服孙尚香】带粉微信区99胜率！！,LT-寒山【233】,28.2万
感谢我寵爱的万元榜。,酷酷的希,27.5万
谢谢君子哥，祝蓉儿生日快乐,奇领涵宝宝【白菜】,27.3万
百星法王在线带粉上荣耀,Dae-奈奈萝,27.2万
貂蝉加强：高地保安又有位置了,LD-十月,27.1万
野铠「五排带粉冲荣耀」魔法书上荣耀,LD-小飞,26.5万
全网最稳车队：百胜小乔一把不输,正恒丶时念,26.4万
无敌蒙犽微信区带粉99胜率,DG-阿奇,26.2万
国服典韦带粉就差您了,非凡-闯仔【嘴炮】,25.7万
表妹升级啦,9292-清萱,25.7万
微信区【有车位】滴滴滴,魅狐-柒柒宝宝,25.3万
边路貂蝉不出吸血教学 包星带粉,景色-BB机,25.3万
国服马超钞票枪包26星带粉乱杀,瀚辰-陌黎,25.3万
钞票枪两赛季荣耀 国服裴擒虎带粉最高胜率,LD-虎宝,25.1万
厦门声优小集美双区带粉，猪哥要快乐哟~,恒云-皮皮帽【大傻帽】,25.1万
【玄策最新出装铭文】带粉上荣耀,阿然【百里玄策】,25.1万
【不讲武德马超】单排上荣耀,Yx9丶悠然,24.3万
枯燥又无味的上分,Yx9丶锐雯【杀神觉醒】,23.9万
TGA王者荣耀女子赛,TGA主舞台,23.8万
新人第一最美天下第一S，晚22点公会战,织梦-小血瓶初见-,23.4万
马超专场单排荣耀教学,光束-凛月,23.3万
5国服野王双区带粉乱杀上荣耀,非凡-潇白,23.1万
【声优貂蝉】80星~101星,诺米-夏夏,23.0万
【魔法书包10星】国一司马懿带粉连胜,DG-凌熙,22.9万
【狂暴流】声优貂蝉细节教学 带粉摘星连胜,奇遇崽,22.8万
魔法书上王者钞票枪包荣耀99胜率带粉,可樂,22.6万
【国服马超】国服马超关羽单排乱杀教学,骓星-慕胜,22.5万
魔法书王者 钞票枪永久26 国服元芳带粉,领域-無言,22.2万
声优国服香香单排51-101,AzZ丶亚托pro,22.2万
免费带粉【国一身法猴】把把MVP,As-久城,22.1万
光速车队3车队带队胜率90以上,零度-北鼻,21.9万
顶尖圆鸽,奈白,21.9万
国服猪八戒 用二层功力单排冲101星,AzZ丶大虫,21.7万
钞票枪上荣耀，国服李白带粉上分教学,DG-火鸟,21.6万
国服马超专场 带粉乱杀,名门-秋池,21.6万
虎牙一号包每赛季荣耀职业退役国服玄策带粉,蓝新-九州,21.5万
万战国服【第一武则天】：帮守护姐上荣耀。,武盟、深蓝【盟主】,21.3万
虎牙一号包国服三国服貂蝉打野效率带粉,蓝鲨-白衣,20.6万
国服李白双区免费带粉，帮上号,久乐、梦伐,20.4万
湖南新人小姐姐，今天玩啥好呢,苏卿倾,20.2万
国服嫦娥单排教学，血瓶上车，魔法书包车。,星盛-鸿门,20.1万
【双国一白起】上分如喝水带粉乱杀,海思-董某人,19.8万
有车位国一阿珂镜火锅带粉,星盛-琴离【镜】,19.7万
国一露露96-101输送奶茶，带粉~,织梦-白光,19.5万
